    0   57  100  158  200  258  301  358
   10   57  110  157  209  258  309  358
   26   77  129  177  232  276  335  375
    6   74  107  175  207  275  307  375
   19   63  117  160  216  257  314  354
    5   51  106  150  206  250  306  350
    7   90  107  190  207  291  306  391
    5   72  105  170  205  267  306  365
   24   63  123  165  222  267  321  369
    0   60  100  160  200  260  300  360
   44   74  144  174  244  274  344  374
   49   92  149  190  249  287  288  349
    6   53  106  152  206  252  306  352
   36   60  136  159  236  258  337  358
   23   75  122  175  222  275  322  374
    6   53  106  153  206  253  306  353
   37   53  134  154  231  254  328  354
   43   92  144  192  245  291  346  391
   49   51  148  149  150  151  248  250
   43   75  143  175  243  275  343  375
   15   53  114  153  213  254  311  355
   41   87  140  188  239  289  339  390
   10   99  110  199  210  299  311  399
   29   51  131  154  233  256  336  359
   38   70  138  172  239  274  339  376
   32   97  133  194  233  291  333  388
   14   75  114  175  215  275  315  375
    5   88  106  187  207  287  308  387
   24   55  123  155  222  255  322  355
   41   56  141  157  241  257  341  357
    3   80  103  180  203  281  302  382
   31   87  131  185  231  283  331  382
   33   94  133  194  233  294  333  394
   11   92  111  190  210  289  310  387
   49   78  149  178  249  278  349  378
   10   95  110  195  210  295  310  394
   15   69  115  170  215  270  315  371
   12   63  111  165  210  267  309  369
   16   62  116  162  216  263  317  363
   41   92  140  192  239  292  338  391
   28   86  126  184  281  282  324  379
   44   81  144  182  244  283  344  383
   38   78  136  176  234  275  332  374
   29   77  130  178  231  279  332  380
    0   68  100  169  200  270  301  371
    8   88  108  191  208  293  307  396
   45   63  145  163  245  263  345  363
   12   90  112  190  212  291  313  391
   31   32   77  139  178  246  247  279
   22   76  121  179  219  282  317  385
   22   96  124  195  227  295  330  394
   34   70  134  162  163  234  254  255
   43   93  143  192  243  292  343  391
   36   91  136  190  235  289  335  389
   30   31   61   62  113  114  115  167
    3   79  104  176  205  274  306  372
   31   56  133  158  234  261  336  363
    3   53  102  155  201  256  257  300
   22   99  121  198  221  297  321  397
   30   78  132  176  233  275  335  373
   24   51  126  127  150  151  229  250
   49   86  149  186  249  286  349  386
   37   64  137  164  237  264  337  364
   32   97  133  197  235  298  336  398
   32   80  132  179  232  279  331  379
    7   97  106  197  205  297  305  397
   18   83  118  183  218  283  318  383
   43   89  143  189  243  289  343  389
    7   61  107  161  208  261  308  362
   18   51  118  151  218  251  318  351
   31   64  133  165  234  266  335  367
   38   39   66  144  163  249  260  261
    0   64  100  164  200  264  300  364
   44   50  144  151  243  251  343  351
   30   31   89  128  189  289  322  388
   42   92  143  193  244  295  345  396
    3   73  105  173  206  274  308  374
   46   59  146  159  246  259  346  359
    4   89  104  189  204  289  304  389
   43   52  144  154  245  256  346  358
   35   64  134  164  234  264  334  364
   29   71  130  169  232  267  333  365
   13   85  112  185  211  285  310  385
   20   89  121  194  221  222  298  299
   94  124  194  223  224  294  323  394
   31   70   71  138  174  245  277  278
   32   59  132  159  232  259  332  359
    1   94  101  194  201  294  301  394
   26   56  126  157  227  258  328  359
   11   81  116  181  221  280  326  380
   48   88  148  188  248  288  348  388
   26   85  123  124  190  191  221  296
   23   55  122  154  222  252  321  350
   26   27   95   96  142  143  188  189
   39   52  139  152  239  252  339  352
   11   81  110  181  210  282  309  382
    0    1   96  100  196  200  296  300
    8   63  108  163  207  263  307  363
   27   75  130  177  232  278  335  380
    5   90  105  191  204  291  304  392
   42   99  141  199  240  299  340  399
   22   91  121  191  220  291  320  390
   17   86  117  186  217  285  317  385
   42   69  142  169  242  269  342  369
   35   88  135  187  234  286  334  386
   15   62  114  162  214  262  313  361
   20   87  120  187  220  287  320  387
   30   64  130  164  230  263  331  363
   18   68  118  168  218  267  319  367
   46   89  145  188  244  288  343  387
   27   91  127  190  227  289  327  388
   39   84  139  184  239  283  338  382
   18   87  117  188  216  289  315  390
   33   87  129  183  279  321  374  375
   22   84  124  186  226  288  328  390
   49   60  149  159  248  258  348  358
   46   53  146  153  245  253  345  353
   22   83  185  186  228  288  331  390
   56  123  156  221  222  255  320  354
   28   97   98  133  134  198  239  299
    5   75  105  174  205  273  306  372
    3    4   83   84  108  195  196  197
   43   76  143  176  243  276  343  376
   43   50  143  150  243  250  343  350
   30   71  131  170  232  269  332  368
   64  127  128  164  230  264  332  363
   43   69  143  170  243  270  343  371
   12   72  112  172  212  272  312  372
    3   90  103  190  203  290  303  390
   12   65  111  167  210  269  309  371
   11   82  110  182  210  281  309  381
    3   64   65  102  158  159  202  253
   37   98  139  196  240  294  341  392
   26   90  123  190  221  291  319  391
   26   94  127  195  229  296  331  397
   48   80  146  182  245  283  343  384
   46   88  144  187  243  287  342  386
   36   73  135  174  235  276  335  378
   12   66  112  165  212  263  312  361
   31   91  131  191  232  291  332  391
   19   82  122  185  288  328  329  391
   26   85  129  186  232  288  335  389
   43   69  145  167  246  266  348  364
   14   76  115  176  215  276  315  376
    5   75  103  173  201  272  300  370
   10   11   69   70  116  117  156  157
